Date,Close/Last,Volume,Open,High,Low
"45,257.00",189.79,"40,552,610.00",189.92,190.67,188.90
"45,254.00",189.97,"24,048,340.00",190.87,190.90,189.25
"45,252.00",191.31,"39,630,010.00",191.49,192.93,190.83
"45,251.00",190.64,"38,134,490.00",191.41,191.52,189.74
"45,250.00",191.45,"46,538,610.00",189.89,191.91,189.88
"45,247.00",189.69,"50,941,400.00",190.25,190.38,188.57
"45,246.00",189.71,"54,412,920.00",189.57,190.96,188.65
"45,245.00",188.01,"53,790,500.00",187.85,189.50,187.78
"45,244.00",187.44,"60,108,380.00",187.70,188.11,186.30
"45,243.00",184.80,"43,627,520.00",185.82,186.03,184.21
"45,240.00",186.40,"66,177,920.00",183.97,186.57,183.53
"45,239.00",182.41,"53,763,540.00",182.96,184.12,181.81
"45,238.00",182.89,"49,340,280.00",182.35,183.45,181.59
"45,237.00",181.82,"70,529,970.00",179.18,182.44,178.97
"45,236.00",179.23,"63,841,310.00",176.38,179.43,176.21
"45,233.00",176.65,"79,829,250.00",174.24,176.82,173.35
"45,232.00",177.57,"77,334,750.00",175.52,177.78,175.46
"45,231.00",173.97,"56,934,910.00",171.00,174.23,170.12
"45,230.00",170.77,"44,846,020.00",169.35,170.90,167.90
"45,229.00",170.29,"51,130,960.00",169.02,171.17,168.87
"45,226.00",168.22,"58,499,130.00",166.91,168.96,166.83
"45,225.00",166.89,"70,625,260.00",170.37,171.38,165.67
"45,224.00",171.10,"57,156,960.00",171.88,173.06,170.65
"45,223.00",173.44,"43,816,640.00",173.05,173.67,171.45
"45,222.00",173.00,"55,980,110.00",170.91,174.01,169.93
"45,219.00",172.88,"64,244,030.00",175.31,175.42,172.64
"45,218.00",175.46,"59,302,860.00",176.04,177.84,175.19
"45,217.00",175.84,"54,764,380.00",175.58,177.58,175.11
"45,216.00",177.15,"57,549,350.00",176.65,178.42,174.80
"45,215.00",178.72,"52,516,980.00",176.75,179.08,176.51
"45,212.00",178.85,"51,456,080.00",181.42,181.93,178.14
"45,211.00",180.71,"56,743,120.00",180.07,182.34,179.04
"45,210.00",179.80,"47,551,100.00",178.20,179.85,177.60
"45,209.00",178.39,"43,698,020.00",178.10,179.72,177.95
"45,208.00",178.99,"42,390,770.00",176.81,179.05,175.80
"45,205.00",177.49,"57,266,680.00",173.80,177.99,173.18
"45,204.00",174.91,"48,527,920.00",173.79,175.45,172.68
"45,202.00",172.40,"49,594,610.00",172.26,173.63,170.82
"45,203.00",173.66,"53,020,290.00",171.09,174.21,170.97
